nome,quantidade,preco,data,id,estado,Fonte
VENTILADOR PULMONAR 2 NIVEIS DE PRESSAO,6.0,17800.0,25/03/2020,2020/13030,SP,https://www.saopaulo.sp.gov.br/coronavirus/transparencia/
Ventilador Pulmonar (Adesão),100.0,49500.0,2020-03-18,019.5050.2020.0028157-17,BA,http://www.saude.ba.gov.br/temasdesaude/coronavirus/contratacoes-covid19/
ventilador pulmonar,100.0,49500.0,2020-03-20,006/2020,PE,https://comprasemergenciaiscovid19.saude.pe.gov.br/
ventilador pulmonar para insuficiencia repiratoria,12.0,63000.0,2020-04-01,057/2020,PE,https://comprasemergenciaiscovid19.saude.pe.gov.br/
ventilador pulmonar para insuficiencia repiratoria portatil,100.0,32000.0,2020-04-01,057/2020,PE,https://comprasemergenciaiscovid19.saude.pe.gov.br/
ventilador pulmonar portatil,45.0,64693.0,2020-04-17,089/2020,PE,https://comprasemergenciaiscovid19.saude.pe.gov.br/
A contratação direta (emergencial) para aquisição de Ventiladores Pulmonares,15.0,107000.0,2020-05-21,00610010.001159/2020-13,RN,http://transparencia.rn.gov.br/covid
Ventiladores de UTI,1.0,58431.0,2020-05-15,00610136.000069/2020-81 ,RN,http://transparencia.rn.gov.br/covid
VENTILADOR PULMONAR MICROPROCESSADO,50.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,30.0,226000.0,2020-03-25,001823/20-53,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,5.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,6.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,1.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,12.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,1.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,1.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,2.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,2.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,1.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,5.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,14.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,6.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,2.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,2.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,7.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,9.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
AQUISIÇÂO VENTILADOR PULMONAR,1.0,44100.0,,003060/18-70,RR,http://www.transparencia.rr.gov.br/index.php/roraima-contra-o-coronavirus/consulta-despesas-covid19
VENTILADOR ARTIFICIAL ELETRôNICO ,50.0,61945.37,2020-04-01,12019506000262020,BR,https://www.comprasgovernamentais.gov.br/index.php/transparencia/60-transparencia/1313-transparencia-dos-dados-de-compras-para-o-covid-19
VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,300.0,85000.0,02020-05-04,15500706000102020,BR,https://www.comprasgovernamentais.gov.br/index.php/transparencia/60-transparencia/1313-transparencia-dos-dados-de-compras-para-o-covid-19
VENTILADOR ARTIFICIAL ELETRôNICO                                                                                        ,9.0,146132.0,2020-05-04,15500706000102020,BR,https://www.comprasgovernamentais.gov.br/index.php/transparencia/60-transparencia/1313-transparencia-dos-dados-de-compras-para-o-covid-19
